"","(Intercept)","living_area","year_sold","mod$coefficients[4:n]","neighborhood","neighborhood_num"
"485",141374.972516129,71.4716580373283,13766.2930038246,32478.8064853234,"neighborhood3330","3330"
"486",141374.972516129,71.4716580373283,13766.2930038246,4093.9081456692,"neighborhood3337","3337"
"487",141374.972516129,71.4716580373283,13766.2930038246,-6415.43541050547,"neighborhood3340","3340"
"488",141374.972516129,71.4716580373283,13766.2930038246,-56012.0659696922,"neighborhood3350","3350"
"489",141374.972516129,71.4716580373283,13766.2930038246,-17490.5277328565,"neighborhood3360","3360"
"490",141374.972516129,71.4716580373283,13766.2930038246,27086.3662363673,"neighborhood3380","3380"
"491",141374.972516129,71.4716580373283,13766.2930038246,-25861.0043765294,"neighborhood3400","3400"
"492",141374.972516129,71.4716580373283,13766.2930038246,10675.3543676484,"neighborhood3402","3402"
"493",141374.972516129,71.4716580373283,13766.2930038246,-3056.83145476405,"neighborhood3420","3420"
"494",141374.972516129,71.4716580373283,13766.2930038246,81699.7521388338,"neighborhood3430","3430"
"495",141374.972516129,71.4716580373283,13766.2930038246,-7966.09169577904,"neighborhood3431","3431"
"496",141374.972516129,71.4716580373283,13766.2930038246,-74248.468526756,"neighborhood3440","3440"
"497",141374.972516129,71.4716580373283,13766.2930038246,-30356.5207108099,"neighborhood3500","3500"
"498",141374.972516129,71.4716580373283,13766.2930038246,-1655.67226092343,"neighborhood3501","3501"
"499",141374.972516129,71.4716580373283,13766.2930038246,78974.7899714673,"neighborhood3523","3523"
"500",141374.972516129,71.4716580373283,13766.2930038246,-41820.5523985559,"neighborhood3555","3555"
"501",141374.972516129,71.4716580373283,13766.2930038246,19705.2274594295,"neighborhood3560","3560"
"502",141374.972516129,71.4716580373283,13766.2930038246,63230.2376813156,"neighborhood3561","3561"
"503",141374.972516129,71.4716580373283,13766.2930038246,46707.3030740267,"neighborhood3563","3563"
"504",141374.972516129,71.4716580373283,13766.2930038246,80373.018539214,"neighborhood3566","3566"
"505",141374.972516129,71.4716580373283,13766.2930038246,-10476.9728312745,"neighborhood3567","3567"
"506",141374.972516129,71.4716580373283,13766.2930038246,65917.661027286,"neighborhood3570","3570"
"507",141374.972516129,71.4716580373283,13766.2930038246,18554.2442931543,"neighborhood3573","3573"
"508",141374.972516129,71.4716580373283,13766.2930038246,-64992.6518290356,"neighborhood3580","3580"
"509",141374.972516129,71.4716580373283,13766.2930038246,22313.4594521135,"neighborhood3595","3595"
"510",141374.972516129,71.4716580373283,13766.2930038246,15308.0934170272,"neighborhood3600","3600"
"511",141374.972516129,71.4716580373283,13766.2930038246,-26954.6091005305,"neighborhood3610","3610"
"512",141374.972516129,71.4716580373283,13766.2930038246,-71850.8745984249,"neighborhood3615","3615"
